Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
201712,1.18,-0.33,-0.34,0.57,1.12,0.09,0.010047364608775443
201801,5.23,-2.88,-2.87,0.0,-1.08,0.11,0.01839207374609443
201802,-3.95,-0.23,-2.74,0.86,-2.59,0.11,0.02487128839834264
201803,-2.17,2.98,0.16,-0.46,-0.04,0.12,0.01212468358570337
201804,0.35,0.46,1.36,-1.91,0.74,0.14,0.0182341170154092
201805,2.51,2.86,-3.41,-1.37,-1.71,0.14,0.007374885643213214
201806,0.39,0.18,-1.04,1.18,0.88,0.14,0.01171076763729409
201807,3.11,-2.11,0.79,1.12,0.55,0.16,0.03183256699612497
201808,3.09,0.56,-5.77,0.56,-3.46,0.16,0.017416783196097775
201809,0.06,-2.24,-1.1,0.38,0.59,0.15,0.014225104347340386
201810,-7.81,-3.8,3.67,0.24,2.82,0.19,0.03467943143545907
201811,1.62,-1.49,0.28,-0.21,1.03,0.18,0.022376178659370992
201812,-9.52,-2.19,-0.81,-0.2,-0.51,0.19,0.005515068450079843
201901,8.59,2.87,-1.15,-0.86,-1.57,0.21,0.015007317628799647
201902,3.39,1.98,-3.23,-0.04,-1.27,0.18,0.02359079035174794
201903,0.95,-3.39,-3.77,1.34,-1.39,0.19,0.010131419700630275
201904,3.9,-0.96,0.81,1.15,-1.19,0.21,0.035661238757280424
201905,-6.82,-1.08,-1.18,-0.26,0.86,0.21,0.011970051413050055
201906,6.99,0.52,-1.18,0.46,-0.85,0.18,0.025044837090383996
201907,1.07,-1.01,-0.69,0.27,0.0,0.19,0.03818354710723498
201908,-2.48,-3.36,-2.41,1.4,-0.59,0.16,0.004857578821038505
201909,1.52,0.28,6.13,1.43,3.14,0.18,0.005010807770508885
201910,1.83,0.01,-1.47,1.06,-0.98,0.15,0.02723751369140734
201911,3.8,0.21,-2.79,-1.67,-1.41,0.12,0.01118853329515617
201912,2.79,0.82,1.43,-0.21,1.57,0.14,0.012268422334739237
202001,-0.34,-3.74,-6.08,-0.04,-2.84,0.13,0.0198760272403841
202002,-8.23,-0.69,-2.5,-0.83,-2.42,0.12,0.019325553739424205
202003,-14.09,-9.81,-10.4,0.12,-1.75,0.12,0.03932629812385882
202004,13.33,3.82,-2.54,2.03,-0.38,0.0,0.05449449319043733
202005,5.45,2.22,-5.4,0.89,-2.79,0.01,0.015525692338910038
202006,2.43,1.54,-3.58,1.39,-0.47,0.01,0.010166852592321198
202007,5.71,-2.63,-2.21,0.56,0.32,0.01,0.023179681432792115
202008,7.44,-1.31,-4.61,3.36,-1.38,0.01,0.017492126814756714
202009,-3.66,0.29,-2.07,0.11,-1.04,0.01,0.012863396635700642
202010,-2.11,4.91,2.43,-2.1,-0.89,0.01,0.01129639714520601
202011,12.53,5.64,3.1,-2.48,1.36,0.01,0.017449328131800616
202012,4.6,4.16,-2.04,-1.74,0.6,0.01,0.02057753413173355
202101,-0.3,4.78,1.45,-2.62,2.0,0.0,0.03647904681145201
202102,3.19,3.97,8.64,-0.91,0.2,0.0,0.033536425297244495
202103,3.52,-1.84,8.09,4.26,4.7,0.0,0.016406276214692078
202104,5.13,-2.22,-0.81,1.8,-2.09,0.0,0.012127491912580803
202105,0.69,0.21,6.22,0.1,3.48,0.0,0.02239087165441609
202106,2.31,-1.57,-7.85,-0.17,-3.0,0.0,0.015398973779871964
202107,1.23,-4.53,-1.37,5.17,1.11,0.0,0.011111843076629189
202108,2.81,-1.44,-0.51,0.0,-1.77,0.0,0.0069326236454056904
202109,-4.28,1.44,3.87,-2.55,2.1,0.0,0.016800967741028017
202110,6.67,-2.93,-1.37,1.17,-1.92,0.0,0.01959689602761012
202111,-1.82,-2.72,-0.28,6.22,0.97,0.0,0.03337428814108323
202112,3.49,-1.24,5.27,3.61,6.6,0.01,0.013880477275680533
202201,-5.74,-3.3,12.14,-0.98,9.68,0.0,0.018884340796329436
202202,-2.22,2.86,3.26,-2.94,2.59,0.0,0.022916450189873892
202203,3.28,-1.82,-1.04,-0.37,2.8,0.0,0.009594272968929809
202204,-9.09,0.22,6.57,2.32,8.2,0.0,0.0068858284045562376
202205,-0.12,0.02,8.28,-0.27,5.21,0.03,0.008111420778105422
202206,-8.46,1.0,-5.12,2.85,-3.49,0.06,0.012868012424763198
202207,9.24,0.76,-5.56,2.92,-6.47,0.08,0.015027725386991502
202208,-3.77,0.98,1.58,-2.61,1.35,0.19,0.022696889987722384
202209,-9.3,-0.82,0.55,-1.57,-0.05,0.19,0.019286141438921628
202210,7.96,1.44,7.66,1.1,6.64,0.23,0.029087519399471334
202211,4.82,-1.21,0.85,3.54,2.54,0.29,0.01980382240872465
202212,-6.3,0.31,1.77,0.14,3.92,0.33,0.013752378038500912
202301,6.77,3.62,-3.52,-0.35,-4.2,0.35,0.010193354068847155
202302,-2.68,0.53,-2.18,0.78,-0.94,0.34,0.025327846624492382
202303,2.29,-6.27,-7.93,3.8,-1.41,0.36,0.017416379706071242
202304,0.69,-2.19,1.25,2.27,2.5,0.35,0.010274249920956244
202305,-0.1,-1.49,-8.1,-0.35,-6.49,0.36,0.010028042631210606
202306,6.48,1.73,-0.98,2.42,-1.09,0.4,0.0059905173060187675
202307,3.15,1.77,3.16,-0.68,0.7,0.45,0.03567192794118478
202308,-2.44,-2.46,-1.24,3.62,-0.95,0.45,0.008288965730199478
202309,-5.09,-1.21,1.62,0.7,0.27,0.43,0.006962327996628392
202310,-3.33,-3.78,-0.46,2.47,0.11,0.47,0.03482219276637206
