Date,Mkt-RF,SMB,HML,RF,WML
201812,-9.52,-2.06,-0.81,0.19,0.005515068450079843
201901,8.59,3.07,-1.15,0.21,0.015007317628799647
201902,3.39,2.41,-3.23,0.18,0.02359079035174794
201903,0.95,-3.03,-3.77,0.19,0.010131419700630275
201904,3.9,-1.23,0.81,0.21,0.035661238757280424
201905,-6.82,-0.81,-1.18,0.21,0.011970051413050055
201906,6.99,0.72,-1.18,0.18,0.025044837090383996
201907,1.07,-0.89,-0.69,0.19,0.03818354710723498
201908,-2.48,-3.15,-2.41,0.16,0.004857578821038505
201909,1.52,-1.05,6.13,0.18,0.005010807770508885
201910,1.83,0.19,-1.47,0.15,0.02723751369140734
201911,3.8,0.86,-2.79,0.12,0.01118853329515617
201912,2.79,0.51,1.43,0.14,0.012268422334739237
202001,-0.34,-2.66,-6.08,0.13,0.0198760272403841
202002,-8.23,-0.07,-2.5,0.12,0.019325553739424205
202003,-14.09,-8.07,-10.4,0.12,0.03932629812385882
202004,13.33,4.13,-2.54,0.0,0.05449449319043733
202005,5.45,3.13,-5.4,0.01,0.015525692338910038
202006,2.43,2.05,-3.58,0.01,0.010166852592321198
202007,5.71,-2.32,-2.21,0.01,0.023179681432792115
202008,7.44,-0.87,-4.61,0.01,0.017492126814756714
202009,-3.66,0.79,-2.07,0.01,0.012863396635700642
202010,-2.11,4.88,2.43,0.01,0.01129639714520601
202011,12.53,5.23,3.1,0.01,0.017449328131800616
202012,4.6,4.8,-2.04,0.01,0.02057753413173355
202101,-0.3,4.78,1.45,0.0,0.03647904681145201
202102,3.19,2.2,8.64,0.0,0.033536425297244495
202103,3.52,-3.88,8.09,0.0,0.016406276214692078
202104,5.13,-2.44,-0.81,0.0,0.012127491912580803
202105,0.69,-0.9,6.22,0.0,0.02239087165441609
202106,2.31,-0.18,-7.85,0.0,0.015398973779871964
202107,1.23,-4.93,-1.37,0.0,0.011111843076629189
202108,2.81,-1.4,-0.51,0.0,0.0069326236454056904
202109,-4.28,1.24,3.87,0.0,0.016800967741028017
202110,6.67,-2.99,-1.37,0.0,0.01959689602761012
202111,-1.82,-3.39,-0.28,0.0,0.03337428814108323
202112,3.49,-2.6,5.27,0.01,0.013880477275680533
202201,-5.74,-5.24,12.14,0.0,0.018884340796329436
202202,-2.22,2.6,3.26,0.0,0.022916450189873892
202203,3.28,-1.59,-1.04,0.0,0.009594272968929809
202204,-9.09,-1.11,6.57,0.0,0.0068858284045562376
202205,-0.12,-1.31,8.28,0.03,0.008111420778105422
202206,-8.46,1.68,-5.12,0.06,0.012868012424763198
202207,9.24,1.35,-5.56,0.08,0.015027725386991502
202208,-3.77,1.12,1.58,0.19,0.022696889987722384
