,Mean,SD,Skew,Kurt,Min,1%,5%,10%,25%,Median,75%,90%,95%,99%,Max
NR,0.23152850302454292,0.012503848438293342,0.3435983267999388,0.7071273493613677,0.1967542558883263,0.20440874220200117,0.21244648690915713,0.2163701522284896,0.22328828239561993,0.23059444351708933,0.24024870226617479,0.24808226839493538,0.2516008863353759,0.2606042599017213,0.2838556348019766
ABNR,1.0034475582363533,0.01586405752454324,5.10996580353636,56.81114324099256,0.9661671223941706,0.9752205871183577,0.985351507969229,0.9886394487811786,0.9956652404622203,1.0022639608722452,1.009237821676154,1.0162979349711094,1.0253108814962144,1.0415987917032887,1.1917362923390158
PR,0.26628006084296135,0.011756011749076806,-0.028621045575381244,0.6310233451585843,0.21584736470854646,0.24155453463180315,0.24761183322904054,0.25162927636034416,0.25841404793798983,0.26609399176712417,0.27420844231297825,0.2805283729437368,0.28582977844670776,0.29294156996791776,0.30459359214037457
ABPR,0.997809072588171,0.014515595741649378,4.798630359637387,49.72477314775746,0.9706016427669576,0.9752312752304253,0.9795049501720252,0.983208976250041,0.9905080305258539,0.9967780919674477,1.0037607074249093,1.01071619489436,1.014631333215715,1.0269633180070392,1.162725193176867
