,NR,ABNR,PR,ABPR,Lead_NR,Lead_ABNR,Lead_R,Lead_ABPR
NR,1.0,0.9922191569043468,-0.3468529009596656,-0.36063545429809285,0.9960268916446142,0.992188407455448,-0.33231507992796516,-0.3519754785895976
ABNR,0.9922191569043468,1.0,-0.36431310952290835,-0.3776688591983523,0.9881465871017661,0.9986805383028715,-0.34995885729199555,-0.3690432644251562
PR,-0.3468529009596656,-0.36431310952290835,1.0,0.9898627375784905,-0.34617481331427935,-0.3637149293551883,0.9943918119191467,0.991189532615454
ABPR,-0.36063545429809285,-0.3776688591983523,0.9898627375784905,1.0,-0.3590528557638242,-0.376536912582073,0.9822647541810487,0.9981716776683569
Lead_NR,0.9960268916446142,0.9881465871017661,-0.34617481331427935,-0.3590528557638242,1.0,0.9924556774910873,-0.3350438027969022,-0.35236538303582676
Lead_ABNR,0.992188407455448,0.9986805383028715,-0.3637149293551883,-0.376536912582073,0.9924556774910873,1.0,-0.35112610782888404,-0.36895514904116933
Lead_R,-0.33231507992796516,-0.34995885729199555,0.9943918119191467,0.9822647541810487,-0.3350438027969022,-0.35112610782888404,1.0,0.989684487548057
Lead_ABPR,-0.3519754785895976,-0.3690432644251562,0.991189532615454,0.9981716776683569,-0.35236538303582676,-0.36895514904116933,0.989684487548057,1.0
