,Intercept,Beta,p
ABNR 1mo,0.05401309864076276,0.17169269207304214,6.220566606975455e-16
ABNR 2mo,0.05388130271177479,0.13370019742394193,2.865398058453892e-15
ABNR 3mo,0.053956511323718766,0.15871801374014455,5.765944239122691e-15
ABPR 1mo,0.07101894452070001,0.16717706571135768,5.371899870913832e-18
ABPR 2mo,0.07111052519565102,0.16393725166298168,3.493237039809372e-21
ABPR 3mo,0.07082056863966014,0.1878047780843968,5.928944972120592e-22
