,Intercept,Beta,p
ABNR 1mo,0.054431959662786425,0.1488855148336724,6.996249473937045e-16
ABNR 2mo,0.054296637394433064,0.10944823967679783,3.137933454191747e-15
ABNR 3mo,0.05438120378391571,0.13989962192478597,9.189804497716269e-15
ABPR 1mo,0.07158897667770037,0.14793745162157762,5.723714712070762e-18
ABPR 2mo,0.07169570552534865,0.1374567426668605,4.150412155430453e-21
ABPR 3mo,0.0713857222048964,0.16131730106759376,6.231366716384889e-22
