,L,2,3,4,5,6,7,8,9,H,H-L
Excess,1.489796115474598,0.8493002955889999,1.0567712678442631,1.3025429061655742,1.3972060489105065,1.1848279253138438,1.224123810812756,1.1995722681751855,1.0627996138617504,1.7989351513534646,0.3091390358788666
CAPM alpha,0.72,0.12,0.33,0.49,0.54,0.39,0.39,0.38,0.26,0.92,0.20000000000000007
CAPM T-Test,***, , ,**,**,**,***,**, ,***,***
FF-3 alpha,0.65,0.06,0.28,0.45,0.54,0.28,0.31,0.35,0.27,0.84,0.18999999999999995
FF-3 T-Test,***, , ,**,**, ,**,*, ,***,***
