,L,2,3,4,5,6,7,8,9,H,H-L
Excess,1.4916517313325652,1.1026603818097949,1.3335512996322536,1.1398691352319694,1.0942586699701609,1.1814877311740586,1.419539940780191,0.949777121490475,0.8829196026117465,1.691854409531716,0.20020267819915083
CAPM alpha,0.58,0.24,0.42,0.35,0.34,0.42,0.6,0.18,0.16,0.99,0.41000000000000003
CAPM T-Test,**, ,***,*,*,*,**, , ,***,***
FF-3 alpha,0.56,0.2,0.38,0.31,0.31,0.38,0.58,0.16,0.06,0.87,0.30999999999999994
FF-3 T-Test,**, ,**, ,**, ,**, , ,***,***
