,L,2,3,4,5,6,7,8,9,H,H-L
Excess,1.6378129278502562,1.1373568747555902,1.4892596673793508,1.2077055091103261,0.9655083596355535,1.0918961737573918,1.7691444491046713,0.9765167992018563,1.1117544956682819,1.6092058840178431,-0.02860704383241308
CAPM alpha,0.77,0.25,0.58,0.36,0.14,0.28,0.95,0.23,0.4,0.89,0.12
CAPM T-Test,***, ,***, , , ,***, ,**,***,***
FF-3 alpha,0.75,0.15,0.49,0.29,0.07,0.17,0.88,0.15,0.28,0.79,0.040000000000000036
FF-3 T-Test,***, ,**, , , ,***, ,**,***,***
