,Excess Return,CAPM Alpha,CAPM T-Test,FF Alpha,FF T-Test
Decile 1,0.0993,0.0682,,0.05,
Decile 2,0.0475,0.0805,**,0.0626,*
Decile 3,0.0619,0.0889,**,0.0648,
Decile 4,-0.0365,-0.0121,,-0.0323,
Decile 5,0.0733,0.1042,**,0.0776,
Decile 6,0.0859,0.1188,***,0.0949,**
Decile 7,0.0944,0.0993,,0.0743,
Decile 8,0.0645,0.0788,*,0.066,
Decile 9,0.0439,0.0689,,0.0373,
Decile 10,-0.0785,0.027,,0.0223,
