,L,2,3,4,5,6,7,8,9,H,H-L
Excess,1.4620860169630743,0.8521029226809196,1.3143958668720996,1.565498291423412,1.3440150127905752,1.311134718771197,1.4610618300080505,1.2653052639049955,1.231538100129436,1.7156746854985918,0.25358866853551754
CAPM alpha,0.67,0.07,0.53,0.74,0.48,0.51,0.65,0.39,0.48,0.83,0.15999999999999992
CAPM T-Test,***, ,**,***,*,**,***,*,**,***,***
FF-3 alpha,0.57,-0.01,0.45,0.61,0.42,0.39,0.6,0.31,0.4,0.73,0.16000000000000003
FF-3 T-Test,***, ,*,***, ,*,***, ,**,***,***
