,AA,AAL,AAPL,ABBV,ABT,ADBE,ADM,ADP,AMAT,AMGN,AMT,AMZN,APA,APD,AVGO,BA,BAX,BBY,BDX,BIIB,BMY,BSX,CAH,CAT,CCI,CCL,CHTR,CI,CL,CMCSA,CMI,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,DAL,DD,DE,DHR,DIS,DISH,DVN,EA,EBAY,ECL,EL,EMR,EOG,EQIX,EQR,F,FCX,FDX,GD,GE,GILD,GIS,GLW,GM,GOOG,GOOGL,GPS,HAL,HCA,HD,HES,HII,HON,HPQ,HUM,IBM,ILMN,INTC,INTU,ISRG,ITW,JNJ,JNPR,K,KMB,KO,KR,KSS,LLY,LMT,LOW,LUV,LVS,MA,MAR,MCD,MCK,MDLZ,MDT,MMM,MNST,MO,MOS,MPC,MRK,MRO,MSFT,MSI,MU,NEM,NFLX,NKE,NOC,NOV,NSC,NTAP,NUE,NVDA,NWSA,OMC,ORCL,OXY,PCAR,PEP,PFE,PG,PM,PPG,PSA,PSX,PXD,QCOM,REGN,SBUX,SCCO,SHW,SIRI,SPG,STZ,SWN,SYK,SYY,T,TGT,TJX,TMO,TMUS,TRI,TSLA,TXN,UNH,UNP,UPS,V,VFC,VLO,VRTX,WBA,WMT,XOM,YUM
2011-01-31,17.43097330219126,,16.050618416241917,,17.056437991446167,16.671881894261144,16.523303831226926,16.570137456202776,16.645890068418943,17.45904280326362,16.599433436735133,14.903211799321952,17.42225538808402,16.338396912056353,,17.556090462128193,16.33481615723561,15.815525777099785,16.543674317897487,16.57793374486853,17.185697790406884,,16.174696567128123,17.587247314571698,,16.505508897267486,,,16.45110318525881,17.025340738784408,,17.755330187606205,16.974044297020445,,18.237070964759912,14.70361538732319,16.117849361295804,17.37123270059094,18.549803209590458,,17.292488187042682,17.213326544575605,16.554611584702528,18.02074181841859,,17.13852977087777,,16.4270888873493,,,17.23293690066193,16.156122718242248,,,17.263710418843623,16.77870474937786,17.022899620958604,16.774621930003285,20.696456547814208,16.30640902260628,16.534192435140678,17.03327704988821,,15.108359937419044,,15.524878063130144,17.327406623396843,,17.651242878507194,16.853234336052477,,17.248730975096773,17.343868891859223,,18.634403890248535,,18.207051647882277,,,16.674301721161,18.546369684313458,16.563780648464025,15.8715314733924,16.63264618564052,17.61406479647342,15.506169632037516,16.07059129513172,17.027969324785982,16.619902288036894,17.16194095735831,,16.091040045475594,14.58006376388118,,17.836323765908126,16.657443067192034,,17.267306322277914,17.55232951367963,,16.96394325339104,16.15863320734629,,17.982658025656995,16.549075407427488,18.918157638365788,16.148214976044034,,16.793459723345137,,15.670208176213041,16.4935743906258,16.98941138285183,16.63604458639674,,16.12564460452375,,,16.04858452664909,18.437613966328833,17.743054336774748,15.993955370966109,18.086967679812012,18.27129806475287,18.642452761338838,17.87355144771699,,16.07733779308302,,,17.96543685753524,,16.05268913287939,15.309801696721294,,,16.60052411800386,,16.431049485334288,16.545746251105307,16.299373800311393,17.68079993352423,17.16184756903877,15.219083576086037,16.92516518247313,,16.120604639773664,,17.205204809873663,17.465463421690146,16.715929654173245,17.355124104302107,15.820512748908738,,,,,18.218793841019135,19.329027533675838,16.330907137870913
2011-02-28,17.449463618887915,,16.090737728885355,,17.1195082293003,16.714819675085167,16.656992532709808,16.61304505757627,16.696327605567525,17.388531843544076,16.658599732649293,14.92449973228819,17.465380233402914,16.391408000076375,,17.59764986711426,16.426576919728724,15.762373462005103,16.507462777928126,16.621714550706976,17.210409885764122,,16.17782393071749,17.646482657221746,,16.464158343556424,,,16.473642066116213,17.149598596143857,,17.85007769342767,17.017031731048178,,18.106440140921432,14.763170798277452,16.17019069766476,17.33733131763477,18.646140755151666,,17.33875206540839,17.205041505848413,16.648618166178668,18.138782485739604,,17.169065243618288,,16.525806752076786,,,17.251738416865436,16.210273919320976,,,17.300886736730558,17.445295657394652,17.019572477992007,16.784125788829215,20.74135107348302,16.32192138950568,16.599844192084113,17.073070836795278,,15.129847633184628,,15.681176570883256,17.371529690086113,,17.670102020729125,16.88724285993932,,17.287912000442127,17.229508398517865,,18.637614564470177,,18.2159480071585,,,16.685640816577127,18.582929756698952,16.733814402974417,15.942485122133148,16.650559707880124,17.630946334287977,15.578589039459974,16.130033713806444,17.035762905898096,16.62375314616988,17.21571107031291,,16.09426168401,14.597043043438513,,17.871385994122186,16.712980861345446,,17.30821270481095,17.606183436291467,,17.040084421500516,16.216909017708094,,17.964404163565746,16.636360688515108,18.881695367152307,16.144856467536215,,16.797084927694815,,15.746625714273362,16.462082813354062,17.063335699918824,16.71179152627422,,16.169328578252244,,,16.174455384623762,18.464413703690667,17.796326273944576,15.876788768904023,18.07303188858575,18.336229844858657,18.641184639579286,17.965935271318656,,16.106902216879195,,,18.064636057071287,,16.101649103592763,15.26543537917531,,,16.689359010817697,,16.430543016397667,16.640171188175575,16.251938105984426,17.711571917853377,17.123982317398365,15.273109344823947,16.899520819636855,,16.114311174995112,,17.25412117789761,17.50205777482306,16.72825353400776,17.3921052575308,15.86732039500778,,,,,18.143052418929017,19.392660514770327,16.404479931253473
2011-03-31,17.496415174390933,,16.077341777130975,,17.139066503019226,16.67520467671338,16.62501861193816,16.64600835781885,16.64577073742959,17.42900299683681,16.618132948922362,14.963212052882081,17.514697955148893,16.37787201904396,,17.623963577743364,16.44402846866002,15.646759185031387,16.454102753650513,16.693218880017476,17.246519096296062,,16.170199686800654,17.725111532488057,,16.35767757252145,,,16.501770481613036,17.10838839156337,,17.875311850076002,16.997180469869928,,18.03092588974945,14.814597910979435,16.22745042010839,17.374735263488077,18.681554301432552,,17.358562504585258,17.280900514835132,16.674426004527433,18.123810048150286,,17.174528646791803,,16.4492395461832,,,17.230905999355063,16.26400856480198,,,17.291540997616462,17.49323097320275,17.05940447540152,16.789888897577878,20.698874570763074,16.407670583644183,16.58383101051772,16.961717636487776,,15.085446244298218,,15.686930186045565,17.43147765380334,,17.665902638784207,16.867313186720427,14.375064070010835,17.318521372584616,17.16852255731757,,18.64493891561891,,18.1539833918647,,,16.68487658610882,18.5466344586093,16.689197317283455,15.950295889144657,16.651703433910175,17.67533160534902,15.624255212197507,16.11876830090313,17.05325935955723,16.63929576731866,17.225597207370168,,15.994697066847555,14.64239094419386,,17.876789228557943,16.710075599783902,,17.293830484250005,17.619859708501192,,17.080698521291577,16.130585310841013,,17.989440435901916,16.708493943405824,18.83589180541915,16.290318314397837,,16.78743959018626,,15.587946415197072,16.502177747904838,17.060937388916653,16.766532379654656,,16.13591858660721,,,16.142680023551907,18.48039454183825,17.82519174524143,15.92031167167672,18.09614466262838,18.390351771256963,18.617918366168336,18.020550245110982,,16.102162589239548,,,17.981553599919017,,16.215313712635975,15.215782620982184,,,16.66283846515893,,16.515251039622378,16.603477225764152,16.25803686156407,17.787213818752168,17.074439924161847,15.270297645479182,16.894672148174845,,16.108973457964197,,17.224191799787246,17.564643612628334,16.758399543584527,17.399126734932075,15.875092749589648,,,,,18.15138292718179,19.376156459102255,16.425127783033595
2011-04-29,17.45832649070655,,16.081979393570844,,17.207689651740996,16.68689719172517,16.65268019546289,16.70375168696069,16.65024191438643,17.490672500633487,16.627544429417966,15.046677982704823,17.534479789613762,16.435400446276876,,17.70011778097499,16.500607965538215,15.735153340958904,16.53048641028667,16.97773137671899,17.307789083678163,,16.23058166531843,17.765080204961965,,16.350088878850737,,,16.552425569204953,17.171409283351814,,17.86309111611243,17.095437408566426,,18.052270832906903,14.761348440900756,16.24571020207772,17.432138810111375,18.69953312593664,,17.440905039678622,17.287177270554427,16.73679396763766,18.124042261839392,,17.16610247585456,,16.55172859141702,,,17.270172705065455,16.274829981532793,,,17.32841147075363,17.488310661907803,17.081813096816557,16.746125360376816,20.718628326437138,16.26522566329227,16.64559146249802,16.97663279825493,,15.009963505621768,,15.717209800086986,17.444236948959446,,17.66832804068305,16.876076249883496,14.338250180329977,17.343659108545747,17.15376935057742,,18.68996374561724,,18.291286311774446,,,16.76857867854815,18.650272092188395,16.595857775494775,16.009459166809382,16.663734626589747,17.69207327228298,15.638340328380883,16.05708217833902,17.10425391701283,16.557815111304166,17.22283826993611,,16.19761108428287,14.734646497766336,,17.905547226478085,16.758956017070666,,17.358782969824134,17.65877190435707,,17.11134168676614,16.080578401662393,,18.074759280128866,16.722094354573102,18.856551589930493,16.31659781796616,,16.858677345290456,,15.671782093865964,16.5164280412732,17.027848384441512,16.841733048977268,,16.156138775389305,,,16.067725777981124,18.555138696277805,17.914840053354585,15.93453469233912,18.16338661313487,18.422331345282075,18.678363199005524,18.076980484283112,,16.158263624377515,,,18.021945186703515,,16.194806892242557,15.143449108056757,,,16.72943947540527,,16.535751570332856,16.573424884708643,16.300791685901892,17.82245658494698,16.99532727462905,15.345611781248397,16.97156647104338,,16.139838303798445,,17.255499930798145,17.650050114649414,16.809352056720808,17.407834589808793,15.93442210933235,,,,,18.206147753929336,19.42090267850236,16.473200479477327
2011-05-31,17.448847958445064,,16.075388663968273,,17.211716641177752,16.71858074030582,16.524699894989315,16.717454072505554,16.52631895878989,17.55356074962286,16.686379381482965,15.051162130408178,17.466461042525463,16.430888353092172,,17.68320534384952,16.545625101322425,15.752302005796164,16.549047521798915,16.947372479094604,17.331004978205755,,16.26941457329548,17.678139417609803,,16.37555219532013,,,16.589432721567544,17.133698142126256,,17.79761183956635,17.117825820809387,,18.010306553956504,14.773777101901183,16.159334844612008,17.498108592949293,18.66496246011856,,17.314700592007743,17.162601744747928,16.72385786748906,18.089340331803697,,17.086892559279676,,16.453419047822695,,,17.16844442494079,16.23963142555014,,,17.292211431559863,17.434645574726986,17.06036600712844,16.765168192357716,20.678213563373454,16.337234593812934,16.675969950067394,16.94073314677637,,14.981856688160864,,15.476328948156814,17.439456418670975,,17.58672448731409,16.792021989909152,14.248599014291381,17.321500372306044,17.076818151281934,,18.6847058702111,,18.271073457244906,,,16.749741205301333,18.682516172782574,16.549945931017174,16.012183854249752,16.69708065073897,17.682391431885144,15.663384569358225,16.067087225556115,17.155940091773058,16.55032825890459,17.048676675144474,,16.0739075784572,14.774300768232273,,17.95339341683216,16.789797134196593,,17.333311861023656,17.635104456381505,,17.155793769160578,16.025523446328478,,18.09676799184449,16.72940167026374,18.827345797121612,16.359057303230205,,16.823250835492004,,15.697327363206433,16.550227221798334,16.97276672703606,16.828590002112254,,16.052574831575274,,,16.017277627660675,18.50554178743615,17.856842312674196,15.876548475596177,18.19524403575286,18.454596883618603,18.710208423039777,18.109705344086436,,16.167005313880292,,,18.051705477251733,,16.214538741674723,15.07793497388922,,,16.766572593228368,,16.533697475088402,16.629452989008996,16.40888126655743,17.836496577648607,17.008910989838984,15.337939748226997,16.99003283412788,,16.11008917662747,,17.249005486462053,17.590553173302744,16.828385979297558,17.394886273128563,15.973228462826022,,,,,18.21709810359751,19.373936118254758,16.504039795929394
2011-06-30,17.43164439573579,,16.055955783547653,,17.22569424943297,16.579640854295832,16.44434544061378,16.672627168285732,16.450017755758495,17.486827647501652,16.61092302236469,15.128161775266166,17.460897100416194,16.44001283450467,,17.60149647134491,16.5091222120975,,16.527238228787056,17.067252060748405,17.341553790339773,,16.241964513105923,17.710297654333353,,16.319583040603295,,,16.584877409626014,17.117817000112375,16.514886974314376,17.772589084829544,17.094364182820943,15.42236621062942,17.89919959976104,15.861479200459938,16.1391867897309,17.465362854034094,18.6458304830099,,17.342949242643993,17.11246454976811,16.72783947815209,17.989552677653485,,16.969460057504673,,16.490185297284167,,15.456778395968703,17.197140474133814,16.198757759283566,,,17.229051137431725,17.466504429615956,17.082542579526116,16.73600184245237,20.639196938881195,16.318918728184777,16.5710659847963,16.842044070288036,16.684411198096637,14.970572395561048,,,17.463272571273027,15.014133198658504,17.592558348211107,16.754264099246427,,17.348990237157928,17.04148955013843,,18.64301332736082,,18.20716958611105,,,16.7534836901867,18.664849847256814,16.41269780011526,15.936080261637093,16.629654486870386,17.63269925478988,15.601219422131098,16.009446603017896,17.13599271778571,16.579260953079846,17.00128547324462,,16.20951218860494,14.920142003766534,,17.950745466925007,16.765277042428934,,17.24962882805901,17.636572282037424,,17.114542441411878,16.535882855147243,,18.056798407553227,16.705150029136732,18.834497139413017,16.221429965267056,,16.802182852960595,,15.756490510528755,16.582006826728332,17.058661176564943,16.803876005423238,16.521321053187346,,,,,18.47472712109587,17.826288452369116,15.899677872833221,18.1726766624182,18.393495250181914,18.626405684887864,18.006597336890774,,16.1392930977153,,,18.038122058276638,,16.29138162652911,15.032810697655286,,,16.753134291673405,,16.518078777197044,16.56658421354356,16.371011725124916,17.833929643974667,16.948894020248648,15.273553402009618,16.973910744870523,,16.078928930989104,,17.125216793645194,17.652015991523633,16.791629499444177,17.415668988814744,16.125288106548144,,,,,18.090703879669125,19.314554095459712,16.49857791779286
2011-07-29,17.357730248392052,,16.2072043318741,,17.20972654815022,16.453035172725862,16.45194475086983,16.64977908860537,16.395522976595448,17.422232100971513,16.614736994807913,15.212659751386362,17.46476179820152,16.365647312537565,,17.553564919633928,16.483327595435036,,16.497079283632065,17.018868704166763,17.331140303974202,,16.204732335160536,17.639740083604647,,16.197339126750254,,,16.556136088873966,17.068788993996023,16.528229301982883,17.737924114548772,17.056865309899013,15.393285956704597,17.925790357188024,15.79648294359534,16.090717433555756,17.435457805005385,18.657238792190515,,17.311057523519292,17.063498150676196,16.65179875627149,17.978736162537075,,16.968063136719543,,16.504950485355376,,15.454112916982288,17.060990099415974,16.175683746784184,,,17.107362568175358,17.472271439455927,16.994773614592624,16.646498534069764,20.587512974357082,16.34160115170661,16.58276334234942,16.710321606055153,16.59199548905308,15.146345883510634,,,17.533859200697453,14.801539700967153,17.556292629089775,16.667690462896065,,17.233679418897292,17.00711417054785,,18.701320979539624,,18.214811739847946,,,16.627434721273502,18.638498723809565,16.115018856961004,15.944361227829368,16.61146104115391,17.6433424589384,15.60403827579902,16.099269807362436,17.15630220836196,16.512356740670267,16.930313432947536,,16.320825028443465,14.926935037778255,,17.976040023455084,16.73456513806803,,17.189520688177538,17.55179208814064,,17.110368359072847,16.579082451867443,15.495511286839227,18.023375460607827,16.69060893839752,18.886943962451003,16.19613422404804,,16.832117724836884,,15.758377661966641,16.44564910659899,17.088389872409614,16.814099803308363,16.416339711608934,,,,,18.40306652126821,17.768315286307107,15.722860951006535,18.077565066173623,18.325715519289485,18.601297625398406,18.07041531943493,,16.187410465724817,,,18.00208700774762,,16.30646112225415,15.07130577778071,,,16.789296057272807,,16.55650986196304,16.489575084711966,16.35190774768446,17.78118795679003,17.04205084158196,15.32494200840182,16.904796049271418,,15.99191726912984,,17.030989464270114,17.613477513737283,16.773067414326068,17.363459236148575,16.140365192646275,,,,,18.0825789532028,19.294823225482,16.458317593159062
2011-08-31,17.219410238563352,,16.192628819347256,,17.232649303730884,16.35967187549537,16.39303452656253,16.62101435935608,16.318129546179073,17.440389215675495,16.639740692187694,15.179349986932621,17.282149005616436,16.2851816961829,,17.507739069272493,16.444952465487717,,16.47004623847956,16.940591335788888,17.36846722957151,,16.175516227064268,17.557603199435505,,16.197326579357078,,,16.620282298751885,16.958420163201513,16.41151171812817,17.681933427544337,17.063734543686056,15.27642671010322,17.906826528419955,15.688877749119142,15.994333088521282,17.423279578649247,18.614137390981057,,17.107578769334726,17.092496928817813,16.5822388671998,17.853089689082495,,16.81942456734764,,16.445832197079046,,15.382502311168103,17.015604205714514,16.078892510565524,,,17.0138527339229,17.355219590686033,16.8961429084828,16.585066894605106,20.493932095252323,16.281271074006213,16.597644997219774,16.656907433145715,16.45058843133975,15.036630442129674,,,17.32611494316693,14.514856779866552,17.51828584790255,16.52326483942497,,17.13599801540912,16.706170312092553,,18.64945482226005,,18.1208074559516,,,16.55973193760479,18.66283678946103,16.003893591158146,15.92632987726439,16.667973368062885,17.678590992029157,15.55472548023154,15.933228996580354,17.14976850340462,16.501988918343994,16.85077238366253,,16.30781174283719,15.010591357624204,,18.02722286613071,16.72234987064006,,17.16195993325438,17.5095944435908,,17.143648805274005,16.585563736804488,15.33400413892862,17.992731880600545,16.556103926931883,18.863603941119116,16.131729571965508,,16.950839113159482,,15.718780115687826,16.298065550842058,16.89073463210008,16.708023684136787,16.182724860427427,,,,,18.317421497098035,17.644428252824987,15.598628898144128,18.0916506867412,18.32267682882014,18.636293310530558,18.04407713254366,,16.221108613630538,,,17.944050112459383,,16.27265077622561,15.080098676201999,,,16.771027897426354,,16.39594275947054,16.382864769401873,16.260936057565768,17.754168637517715,17.05175563334797,15.316318306428906,16.815012404658912,,15.894706359098524,,16.904301383834206,17.570032483972533,16.672352917319174,17.344687945267605,16.16910206652796,,,,,18.098852328341845,19.22634216568317,16.48723982999217
2011-09-30,16.9285981164311,,16.183466101444747,,17.206212726939818,16.316354044762523,16.312823143167027,16.569251954125356,16.22951087078371,17.43241560129746,16.63862640324785,15.183985348420839,17.031762666754144,16.22300780254941,,17.407946615917083,16.45355623135359,,16.37099114324933,16.92938230003163,17.421808827838227,,16.165712514040955,17.348644341409802,,16.11105819834977,,,16.60584009064792,16.93060785201072,16.28233744807317,17.609597807262812,17.10843011780384,15.15720573724026,17.89591811546704,15.527484430197836,15.982442213160665,17.356492588550143,18.54881633405328,,16.88098422024417,16.873940732332695,16.4946138000833,17.731482565211294,,16.620390087585868,,16.400098537965807,,15.276527000801368,16.896182187239386,15.813531594847523,,,16.874135737911633,16.91882036349426,16.74674220993797,16.466054171571088,20.434309148176677,16.253816562807877,16.61282857842564,16.46132486395866,16.27597734710857,14.987529665311385,,,16.951933891515587,14.521326044546162,17.502889259136047,16.4016896034194,,17.05090546471673,16.563523240920727,,18.66652667885499,,18.179179778775637,,,16.455559363371012,18.630244346344906,15.811101846175593,15.905307459491084,16.704679142198696,17.643501085512963,15.484397892242498,15.996605593742574,17.1352678328572,16.48087520328686,16.820721787757158,,16.113348586780624,14.971784081388938,,17.998157074287956,16.62753941847188,,17.10836778097263,17.364740063334523,,17.145143151642255,16.212262365828003,15.019522374362252,17.9925197967522,16.335001727539204,18.797158686293358,16.132609548274136,,16.960759824508276,,15.70912028539481,16.25217291870183,16.637122182148968,16.604434399800617,16.07948858220164,,,,,18.341009763698434,17.456786366143472,15.491879472870139,18.051591625960995,18.251724751853477,18.62841032055238,17.95051279310721,,16.12358982547068,,,17.88748591072095,,16.237605850146725,14.779001551022786,,,16.70488800381093,,16.266131182781876,16.350892706768665,16.185477284919212,17.755572592010676,16.999514574584605,15.33176066109742,16.73369474844053,,15.7599743568085,,16.920949484891644,17.54358960785682,16.55140517738896,17.2797042972128,16.144215946227856,,,,,18.074300760233427,19.207384794258374,16.39117517114148
2011-10-31,17.04580069483305,,16.243170983317423,,17.2673695780676,16.51257659426818,16.46680087996288,16.673487547663,16.40278255882995,17.47358697951436,16.662502190640314,15.171326391953743,17.249864649684103,16.34339206604804,,17.491605851837157,16.432677033820102,,16.435810998388135,17.151860025475525,17.438612298727065,,16.221210953727912,17.600440218367762,,16.261240260051565,,,16.63106878734059,17.05018905890555,16.479226581914418,17.714654511549217,17.12197476429011,15.310180664323672,18.078427193650494,15.701109383894906,16.131110031702107,17.438470264222495,18.6750716818932,,17.097157201817094,17.035608000997687,16.6368399698374,17.876879697379167,,16.77870656453708,,16.476456460869326,,15.390558616356518,17.04877544368503,16.046145806212333,,,17.062985274931066,17.205170024948547,16.936595883838148,16.595045648856015,20.527706179916983,16.324937641237295,16.62191770945658,16.606419478426613,16.523595564982102,15.127872156819901,,,17.154151614222513,14.672496326819092,17.588276838987237,16.577764329164616,,17.227669692196365,16.648204301070766,,18.72083749188937,,18.318900760537012,,,16.61169957304225,18.641175142304224,16.160158182369514,15.924302517580067,16.68620246243489,17.65468758063174,15.53846511924956,15.99824749069314,17.140394229787233,16.524776017762953,16.910731929678036,,16.31593837846267,15.062881976136026,,18.053853349488378,16.742415140605388,,17.160095022896574,17.460695753626208,,17.172370939715314,16.39110634287825,15.30220298525951,18.046104185065573,16.522484415519163,18.86473108788597,16.245553893836867,,17.020570926617737,,15.828474450132871,16.353788850914075,16.968309086990022,16.797162525395915,16.26778492148215,,,,,18.474230678536333,17.719043257008938,15.737593401464894,18.06841208075337,18.337321299004362,18.649269700059097,18.063904462571625,,16.271111101559907,,,17.94676718503754,,16.365085373462616,14.984136339855402,,,16.860051032797163,,16.498294803311374,16.36730735254242,16.26363317382573,17.80321068657028,17.10965550432292,15.392268685784048,16.72636125546442,,15.852793613620221,,17.06889877753068,17.583335507998026,16.749578802372525,17.38610940096528,16.228521887036067,,,,,18.163108823430232,19.279868976988546,16.477925111161323
