Date,AAPL,AMZN,TSLA,GOOGL,PFE
2018-01,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.47619047619047616,0.09523809523809523
2018-02,0.5,0.2777777777777778,0.05555555555555555,0.5,0.05555555555555555
2018-03,0.45,0.05,0.05,0.6,0.05
2018-04,0.6,0.15,0.15,0.7,0.15
2018-05,0.5238095238095238,0.0,0.19047619047619047,0.5714285714285714,0.0
2018-06,0.4,0.0,0.2,0.45,0.2
2018-07,0.55,0.15,0.15,0.75,0.1
2018-08,0.8181818181818182,0.18181818181818182,0.045454545454545456,0.5,0.045454545454545456
2018-09,0.5,0.05555555555555555,0.0,0.6666666666666666,0.05555555555555555
2018-10,0.5,0.09090909090909091,0.09090909090909091,0.5,0.13636363636363635
2018-11,0.3,0.1,0.15,0.6,0.0
2018-12,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3888888888888889,0.05555555555555555
2019-01,0.6,0.2,0.2,0.5,0.05
2019-02,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.05555555555555555
2019-03,0.65,0.1,0.2,0.55,0.1
2019-04,0.65,0.15,0.15,0.4,0.05
2019-05,0.2857142857142857,0.047619047619047616,0.14285714285714285,0.6666666666666666,0.047619047619047616
2019-06,0.631578947368421,0.15789473684210525,0.21052631578947367,0.7894736842105263,0.10526315789473684
2019-07,0.5714285714285714,0.09523809523809523,0.047619047619047616,0.5238095238095238,0.09523809523809523
2019-08,0.47619047619047616,0.19047619047619047,0.19047619047619047,0.47619047619047616,0.14285714285714285
2019-09,0.631578947368421,0.05263157894736842,0.10526315789473684,0.42105263157894735,0.0
2019-10,0.6818181818181818,0.09090909090909091,0.13636363636363635,0.6818181818181818,0.09090909090909091
2019-11,0.5263157894736842,0.05263157894736842,0.10526315789473684,0.47368421052631576,0.05263157894736842
2019-12,0.75,0.1,0.2,0.55,0.05
2020-01,0.55,0.25,0.25,0.35,0.15
2020-02,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.16666666666666666
2020-03,0.14285714285714285,0.047619047619047616,0.0,0.42857142857142855,0.23809523809523808
2020-04,0.5,0.2,0.25,0.65,0.2
2020-05,0.5789473684210527,0.10526315789473684,0.05263157894736842,0.3684210526315789,0.2631578947368421
2020-06,0.47619047619047616,0.14285714285714285,0.14285714285714285,0.47619047619047616,0.047619047619047616
2020-07,0.47619047619047616,0.14285714285714285,0.047619047619047616,0.5238095238095238,0.3333333333333333
2020-08,0.45,0.1,0.05,0.45,0.2
2020-09,0.35,0.05,0.1,0.45,0.25
2020-10,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.47619047619047616,0.14285714285714285
2020-11,0.47368421052631576,0.10526315789473684,0.21052631578947367,0.5263157894736842,0.05263157894736842
2020-12,0.2857142857142857,0.047619047619047616,0.0,0.38095238095238093,0.047619047619047616
2021-01,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.5555555555555556,0.16666666666666666
2021-02,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.1111111111111111
2021-03,0.3181818181818182,0.09090909090909091,0.13636363636363635,0.5909090909090909,0.045454545454545456
2021-04,0.35,0.2,0.1,0.7,0.15
2021-05,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.47368421052631576,0.0
2021-06,0.47619047619047616,0.047619047619047616,0.14285714285714285,0.5238095238095238,0.0
2021-07,0.45,0.15,0.15,0.7,0.1
2021-08,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.23809523809523808
2021-09,0.5,0.0,0.1,0.35,0.1
2021-10,0.4,0.1,0.1,0.45,0.1
2021-11,0.55,0.1,0.15,0.45,0.15
2021-12,0.19047619047619047,0.0,0.047619047619047616,0.6190476190476191,0.0
2022-01,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.47368421052631576,0.10526315789473684
2022-02,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.05555555555555555
2022-03,0.09090909090909091,0.13636363636363635,0.18181818181818182,0.5909090909090909,0.045454545454545456
2022-04,0.10526315789473684,0.0,0.0,0.47368421052631576,0.15789473684210525
2022-05,0.25,0.1,0.1,0.65,0.1
2022-06,0.2,0.05,0.0,0.65,0.05
2022-07,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.42105263157894735,0.10526315789473684
2022-08,0.09090909090909091,0.045454545454545456,0.0,0.4090909090909091,0.18181818181818182
2022-09,0.1,0.0,0.05,0.4,0.05
2022-10,0.1,0.1,0.1,0.55,0.15
2022-11,0.15,0.1,0.0,0.5,0.05
2022-12,0.1,0.1,0.05,0.45,0.0
