Date,AAPL,AMZN,TSLA,GOOGL,PFE
2018-01,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523
2018-02,0.0,0.0,0.0,0.0,0.1111111111111111
2018-03,0.0,0.0,0.0,0.0,0.15
2018-04,0.0,0.0,0.0,0.0,0.1
2018-05,0.0,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523
2018-06,0.0,0.1,0.05,0.0,0.05
2018-07,0.0,0.0,0.0,0.0,0.25
2018-08,0.0,0.0,0.0,0.0,0.2727272727272727
2018-09,0.0,0.05555555555555555,0.05555555555555555,0.0,0.16666666666666666
2018-10,0.0,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456
2018-11,0.0,0.1,0.1,0.0,0.25
2018-12,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0
2019-01,0.0,0.15,0.05,0.0,0.1
2019-02,0.0,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111
2019-03,0.0,0.05,0.0,0.0,0.05
2019-04,0.0,0.05,0.1,0.0,0.15
2019-05,0.0,0.09523809523809523,0.09523809523809523,0.0,0.19047619047619047
2019-06,0.0,0.10526315789473684,0.0,0.0,0.0
2019-07,0.0,0.09523809523809523,0.09523809523809523,0.0,0.19047619047619047
2019-08,0.0,0.0,0.0,0.0,0.0
2019-09,0.0,0.10526315789473684,0.15789473684210525,0.0,0.05263157894736842
2019-10,0.0,0.18181818181818182,0.045454545454545456,0.0,0.22727272727272727
2019-11,0.0,0.0,0.05263157894736842,0.0,0.0
2019-12,0.0,0.05,0.0,0.0,0.0
2020-01,0.0,0.1,0.15,0.0,0.15
2020-02,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.16666666666666666
2020-03,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.19047619047619047
2020-04,0.0,0.05,0.05,0.0,0.05
2020-05,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.15789473684210525
2020-06,0.0,0.0,0.0,0.0,0.047619047619047616
2020-07,0.0,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523
2020-08,0.0,0.0,0.0,0.0,0.05
2020-09,0.0,0.05,0.05,0.0,0.15
2020-10,0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616
2020-11,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0
2020-12,0.0,0.09523809523809523,0.19047619047619047,0.0,0.047619047619047616
2021-01,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111
2021-02,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.0,0.1111111111111111
2021-03,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456
2021-04,0.0,0.05,0.0,0.0,0.0
2021-05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.15789473684210525
2021-06,0.0,0.09523809523809523,0.14285714285714285,0.0,0.0
2021-07,0.0,0.05,0.05,0.0,0.0
2021-08,0.0,0.0,0.0,0.0,0.0
2021-09,0.0,0.05,0.1,0.0,0.0
2021-10,0.05,0.1,0.0,0.0,0.0
2021-11,0.0,0.05,0.0,0.0,0.1
2021-12,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.0,0.14285714285714285
2022-01,0.0,0.05263157894736842,0.0,0.0,0.15789473684210525
2022-02,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555
2022-03,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091
2022-04,0.0,0.0,0.0,0.0,0.05263157894736842
2022-05,0.0,0.1,0.25,0.0,0.1
2022-06,0.0,0.05,0.1,0.0,0.05
2022-07,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842
2022-08,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091
2022-09,0.05,0.1,0.15,0.0,0.1
2022-10,0.0,0.2,0.05,0.0,0.1
2022-11,0.0,0.05,0.1,0.0,0.0
2022-12,0.15,0.1,0.15,0.0,0.05
