,L,2,3,4,5,6,7,8,9,H,H-L
Excess,1.29,1.08,1.26,1.06,1.15,1.19,1.2,1.08,1.1,1.44,0.1499999999999999
CAPM alpha,0.25,0.15,0.27,0.19,0.31,0.31,0.33,0.24,0.3,0.72,0.47
CAPM T-Test, , ,*, ,***,**, , ,**,***,***
FF-3 alpha,0.39,0.24,0.34,0.22,0.36,0.37,0.41,0.28,0.31,0.7,0.30999999999999994
FF-3 T-Test, , ,**, ,***,**,**,*,**,***,***
