,L,2,3,4,5,6,7,8,9,H,H-L
Excess,0.1576108212285,0.18156061305744564,0.16599581836444183,0.16832784143898544,0.1740974140560908,0.15578719693177165,0.17803959215342763,0.16358252268612106,0.17527655378600449,0.2149816487811061,0.04185944754780061
CAPM alpha,0.11918521231300959,0.14456115657748975,0.13195456113283882,0.13452841593966758,0.13935389020637276,0.12119167019576375,0.1434711911079837,0.13434668046254755,0.14503079461215843,0.19241017768582896,0.053934141900414456
CAPM T-Test, ,*,*,*,*, ,*,*,*,***,***
FF-3 alpha,0.14224318089344173,0.17025431765717558,0.157124311512775,0.162989891781668,0.16785734110707093,0.1459527928333676,0.17089800869364435,0.16104338583050912,0.1716134613026437,0.21752544507911795,0.05425766600571881
FF-3 T-Test,**,**,**,**,**,**,**,**,***,***,***
